Country,Country,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13
Cyprus,Cyprus,1.5,1.6,1.6,1.6,1.9,1.9,1.8,1.7,1.9,2.1,2.4,2.3,3.1,3.0,2.7,2.7,3.7,3.7,4.0,4.0,3.9,4.0,3.7,4.0,3.9,4.5,4.1,4.3,5.1,6.5,6.1,9.5,9.9,12.8,13.4,16.0,17.7,18.6,20.0,20.6,21.1,21.9,24.0,24.1
Czechia,Czechia,17.3,17.7,18.3,18.0,18.7,18.9,18.8,19.1,19.1,19.2,19.0,17.1,14.8,13.5,13.0,13.4,13.5,13.4,13.3,13.4,14.4,15.4,16.5,17.7,19.0,19.7,20.2,21.4,23.1,24.6,25.6,26.6,26.7,26.8,27.3,27.8,27.8,27.6,28.0,28.4,28.5,28.0,28.0,28.0
Denmark,Denmark,8.9,8.6,8.1,7.6,7.6,7.6,6.0,5.6,4.9,4.8,4.7,4.7,4.7,4.9,5.0,5.1,5.3,5.9,5.9,5.9,6.6,7.1,7.8,8.2,8.5,8.5,8.5,8.8,8.9,9.3,10.4,10.6,10.6,10.6,12.6,13.3,14.4,15.8,17.3,17.3,17.3,21.8,23.8,24.7
Estonia,Estonia,1.1,0.9,1.0,0.9,0.9,0.9,1.0,1.0,1.5,2.0,2.0,2.1,2.0,2.0,2.0,2.0,2.0,2.2,2.1,2.1,2.0,2.0,1.7,1.2,1.1,1.4,1.5,1.8,1.7,2.0,2.6,3.3,3.8,4.4,4.5,5.2,6.6,7.3,7.9,8.6,8.9,9.1,9.7,10.0
Faroe_Islands,Faroe_Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,8.2,8.2,6.2,6.2,6.2,6.2,6.2,6.2,53.4,65.7,65.7,65.7,76.0,76.0,69.8,69.8,74.0,102.7,102.7,205.4,205.4,205.4,203.4,213.7,244.5
Finland,Finland,1.8,2.2,2.2,2.5,2.3,2.3,2.4,2.2,2.1,2.1,1.8,1.8,1.8,1.5,1.4,1.0,0.9,0.6,0.9,1.2,1.2,1.4,1.4,1.5,1.6,1.8,1.8,1.9,2.0,2.2,2.4,2.4,2.3,2.1,2.3,2.4,2.7,2.9,3.2,3.3,3.5,3.7,4.0,4.1
France,France,10.6,11.3,11.5,11.2,10.2,9.8,11.3,11.3,12.1,13.1,11.7,11.7,11.7,12.1,11.3,11.3,11.1,11.5,11.5,11.5,12.6,12.7,13.2,13.9,14.6,14.6,14.6,16.0,17.1,17.7,19.0,19.8,19.8,19.8,21.7,22.4,23.4,24.2,26.0,26.0,26.0,29.4,30.4,32.1
Georgia,Georgia,1.0,1.0,1.1,1.3,1.3,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.9,1.7,1.8,2.0,1.9,2.0,2.2,2.6,3.3,3.4,3.6,3.6,3.7,3.8,3.7,3.9,3.8,3.6,3.7,3.6,3.7,3.3,2.6,2.4,2.4,2.8,3.0,3.1,3.2
Germany,Germany,9.1,9.0,8.6,8.4,7.8,7.5,7.3,7.1,6.9,6.8,6.4,6.4,6.3,6.2,6.0,6.1,6.2,6.4,6.3,6.3,6.5,6.6,6.7,7.2,7.7,7.8,8.0,8.3,8.7,9.1,9.5,10.0,10.0,10.3,10.8,11.1,11.7,12.1,12.5,12.8,12.9,13.3,14.0,14.6
Gibraltar,Gibraltar,3.0,5.9,5.9,5.9,5.9,5.9,8.9,8.9,8.9,11.9,11.9,11.9,8.9,8.9,8.9,5.9,5.9,5.9,5.9,5.9,3.0,3.0,8.9,11.9,11.9,14.8,14.8,14.8,17.8,17.8,20.8,20.8,23.7,23.7,23.7,26.7,20.8,17.8,17.8,35.6,35.6,35.6,44.5,50.4
Greece,Greece,2.4,2.1,2.2,2.3,2.4,2.4,2.6,2.7,2.9,3.3,3.6,3.8,4.0,4.1,4.4,4.5,4.5,4.5,4.4,4.6,4.2,4.3,4.2,4.1,3.8,3.7,3.6,3.7,3.7,4.0,4.3,4.8,5.6,6.1,6.8,7.5,8.4,9.4,10.6,11.7,13.3,14.2,15.5,17.2
Guernsey,Guernsey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Holy_See,Holy_See,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hungary,Hungary,0.8,0.8,0.9,0.9,0.9,0.8,0.8,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.1,1.1,1.2,1.2,1.4,1.5,1.6,1.6,1.7,1.8,2.1,2.1,2.2,2.1,2.1,2.3,2.3,2.2,2.2,2.1,2.0,1.9,1.9,2.0,2.0,2.2,2.5,2.8,2.9,2.9
Iceland,Iceland,3.4,3.6,4.5,4.2,4.2,4.2,4.8,5.0,4.5,4.2,3.6,3.6,3.4,3.1,3.1,2.8,1.7,1.7,2.2,2.5,2.0,1.7,2.0,2.2,2.8,2.8,3.9,5.9,6.2,7.3,10.1,13.7,15.4,19.0,21.3,22.1,24.1,25.5,30.5,31.4,31.1,30.3,31.1,31.1
Ireland,Ireland,2.8,2.8,2.7,2.7,2.8,3.0,3.0,3.0,3.0,3.3,3.6,3.5,3.9,3.6,4.0,4.2,4.3,4.7,4.9,4.8,4.8,5.4,5.6,5.3,5.2,5.3,5.2,5.2,5.3,5.3,6.7,6.8,7.3,8.2,9.0,9.2,9.9,11.1,12.7,15.8,16.9,17.9,17.8,18.3
Isle_of_Man,Isle_of_Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy,Italy,5.1,4.9,4.6,5.3,5.2,5.2,5.1,5.2,4.5,4.4,4.4,4.5,4.6,4.6,4.6,4.5,4.6,4.6,4.6,4.7,4.6,4.6,4.8,4.9,4.9,5.0,5.1,5.1,5.2,5.4,5.7,5.9,6.0,6.0,6.0,6.1,6.2,6.4,6.9,7.0,7.4,7.5,7.9,8.2
Jersey,Jersey,2.8,0.9,1.9,1.9,1.9,1.9,6.5,6.5,5.6,5.6,5.6,5.6,5.6,9.3,9.3,9.3,10.2,10.2,10.2,10.2,5.6,5.6,5.6,5.6,6.5,6.5,6.5,4.6,5.6,5.6,3.7,3.7,3.7,3.7,7.4,11.1,12.1,13.0,12.1,12.1,12.1,12.1,11.1,14.8
Kosovo,Kosovo,62.4,64.4,63.8,59.3,55.1,66.0,71.8,79.8,84.7,92.7,100.8,118.2,125.3,128.9,124.5,124.9,120.8,133.9,142.0,132.3,131.7,120.9,133.4,131.6,131.9,122.4,110.4,127.6,140.9,145.1,159.4,146.3,138.3,170.4,176.4,188.9,166.1,179.1,177.3,164.1,172.3,167.1,153.8,143.1
Latvia,Latvia,1.0,0.9,0.7,0.6,0.6,0.7,0.8,1.2,1.6,2.2,2.2,3.0,3.0,3.0,3.1,3.0,3.0,3.3,3.4,3.5,3.4,3.1,2.9,2.6,2.7,1.7,2.4,2.4,2.2,2.4,2.6,2.4,2.6,2.7,2.8,2.9,3.1,3.8,4.0,4.3,3.7,3.8,4.3,4.1
Liechtenstein,Liechtenstein,0.0,0.0,0.0,2.6,2.6,2.6,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,7.8,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,7.8,10.4,7.8,7.8,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
Lithuania,Lithuania,1.5,1.4,1.5,1.3,1.3,1.4,1.4,1.5,1.8,1.8,1.9,1.9,1.9,2.1,2.1,2.3,2.8,2.9,3.0,3.4,3.8,3.8,3.8,3.7,4.5,4.9,5.0,5.2,5.4,5.8,5.7,6.0,6.4,6.4,6.2,6.7,6.7,7.6,7.4,8.2,8.7,8.8,9.2,9.5
Luxembourg,Luxembourg,36.5,42.4,49.5,56.7,60.4,65.5,68.6,76.6,83.1,92.5,98.4,101.8,111.3,114.0,123.3,115.8,118.4,136.5,152.0,156.5,173.2,182.8,196.1,200.8,208.3,219.4,219.4,222.4,214.9,240.6,243.4,229.7,209.5,197.4,205.1,194.2,187.8,182.6,172.2,150.5,137.0,145.8,141.2,124.9
Malta,Malta,2.8,1.6,1.4,1.8,1.6,1.4,1.4,1.6,1.6,1.2,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.4,0.4,0.8,1.0,0.8,1.2,1.2,2.4,2.4,5.1,5.3,6.7,9.3,11.1,13.2,17.4,20.1,22.7,25.9,32.8,33.4,42.1,50.2,58.6,63.0,61.6,74.8
Moldova,Moldova,107.8,103.0,100.0,96.2,92.0,89.4,87.6,84.8,83.9,79.5,77.9,77.4,77.5,76.2,76.5,77.7,77.0,75.4,77.2,78.3,79.4,81.6,82.3,85.1,88.0,89.5,90.3,91.9,94.3,96.6,91.1,104.8,106.8,108.4,108.0,108.1,109.4,111.9,111.5,114.1,114.4,115.9,116.3,117.5
Monaco,Monaco,12.1,12.1,21.2,21.2,21.2,24.2,21.2,21.2,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,9.1,9.1,9.1,3.0,3.0,9.1,12.1,18.1,24.2,21.2,21.2,24.2,27.2,33.2,33.2,33.2,33.2,33.2,36.3,36.3,39.3,42.3,42.3,45.3,51.4,48.4,60.5,63.5
Montenegro,Montenegro,35.7,39.1,44.8,49.5,58.0,67.3,76.2,85.0,91.8,97.2,102.5,111.7,118.9,153.0,156.5,161.7,161.0,153.5,151.7,159.1,163.9,162.8,157.0,199.6,239.8,225.8,216.7,231.4,229.4,230.5,233.9,240.1,246.6,239.0,231.4,231.6,236.9,195.9,157.5,163.8,168.6,129.1,128.4,128.1
Netherlands,Netherlands,6.9,6.5,6.3,6.1,6.1,5.9,5.8,5.6,5.5,5.1,4.8,4.9,5.1,5.0,5.1,5.3,5.4,5.6,6.0,6.4,7.3,8.0,8.7,9.3,10.2,10.5,11.1,11.9,12.9,13.7,15.1,16.5,18.2,19.2,20.3,22.5,24.0,26.5,28.4,30.4,32.5,34.6,37.9,40.2
North_Macedonia,North_Macedonia,99.2,95.7,95.3,87.8,92.8,93.4,92.7,92.7,93.9,94.6,96.5,98.7,97.2,95.0,95.2,98.8,94.8,102.5,100.0,100.4,102.4,104.6,103.3,101.2,97.6,94.7,95.1,97.1,95.7,95.4,96.8,95.8,91.0,92.5,91.0,83.2,79.6,78.0,85.4,88.4,85.2,84.3,79.4,82.5
Norway,Norway,4.4,4.3,3.8,3.8,3.5,3.5,3.5,3.5,3.2,3.0,2.8,2.8,2.8,2.4,2.2,2.1,2.2,2.3,2.3,2.3,1.8,1.9,2.0,2.0,2.3,2.3,2.3,2.6,2.8,2.8,3.0,3.6,3.6,3.6,4.5,5.5,5.8,6.5,7.2,7.2,7.2,9.8,10.4,11.3
Poland,Poland,11.1,10.7,10.9,10.8,10.8,10.6,10.3,10.2,10.2,10.1,10.1,10.0,10.5,10.6,10.7,10.5,10.3,10.5,10.6,10.9,11.1,11.5,11.8,12.2,12.7,13.4,13.6,13.7,14.3,14.8,15.7,16.5,17.4,17.9,18.7,19.4,20.1,20.9,21.8,22.5,23.0,23.7,23.9,24.4
Portugal,Portugal,46.8,46.5,45.7,45.7,46.0,46.4,46.1,45.5,46.3,47.3,46.8,49.0,47.4,47.7,47.8,48.4,48.5,47.9,46.9,46.1,45.2,43.6,41.8,39.9,39.0,36.3,35.5,33.9,32.7,31.0,30.2,29.1,28.4,27.5,27.2,27.1,26.3,26.1,25.9,25.1,24.4,24.6,24.7,25.4
Romania,Romania,23.5,23.4,24.0,24.5,25.0,25.4,25.4,26.3,27.6,28.3,29.3,31.2,32.0,32.8,34.1,35.7,37.4,39.3,41.8,43.7,45.9,49.0,51.4,54.0,56.7,59.7,63.2,66.7,69.4,72.2,75.1,77.7,79.4,81.0,81.7,83.0,84.4,85.6,86.9,87.3,87.4,85.7,86.1,87.3
Russia,Russia,70.2,69.3,68.6,67.7,66.9,66.2,65.5,64.8,64.4,64.0,63.9,63.7,63.6,63.4,63.1,63.0,62.8,66.9,66.5,61.9,61.4,61.1,60.6,60.1,59.6,59.1,58.5,57.9,57.3,56.6,56.0,51.1,50.7,54.4,54.0,53.5,53.6,52.7,52.3,51.8,51.4,51.1,50.8,50.5
San_Marino,San_Marino,11.6,5.8,5.8,5.8,5.8,5.8,0.0,0.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.3,49.3,52.2,52.2,52.2,52.2,52.2,58.1
Serbia,Serbia,30.7,33.2,37.0,40.1,43.5,46.5,49.3,52.1,55.2,57.0,59.8,61.5,61.9,62.5,63.5,64.6,64.9,66.1,67.0,68.4,69.4,70.2,71.2,73.3,73.6,74.5,77.1,79.0,79.5,79.8,78.9,78.2,77.3,76.1,74.6,73.7,71.8,70.2,68.3,66.1,62.7,59.2,57.1,55.4
Slovakia,Slovakia,2.1,2.3,2.5,2.6,3.0,3.2,3.2,3.3,3.5,4.1,4.2,4.3,4.3,4.3,4.4,4.4,4.6,4.5,4.2,3.9,3.9,4.7,4.8,4.4,4.6,4.6,5.1,5.1,5.4,5.8,5.8,6.0,6.6,6.7,6.9,6.4,6.6,7.2,7.4,7.8,7.7,7.7,7.5,8.2
Slovenia,Slovenia,4.9,5.3,5.9,6.5,7.7,8.7,9.4,9.9,10.7,11.0,11.3,12.3,12.5,12.7,12.4,12.7,12.7,12.8,12.5,11.8,11.4,11.4,12.1,12.4,12.4,11.5,11.6,11.4,11.6,11.4,11.6,12.0,11.1,11.2,11.0,10.2,9.3,9.1,8.7,8.7,8.0,8.1,8.2,9.0
Spain,Spain,10.6,10.3,10.6,9.8,9.1,11.3,11.5,11.6,11.9,12.8,11.6,10.9,14.9,15.7,16.7,18.6,20.7,20.7,20.7,27.8,30.0,32.0,36.5,39.4,39.4,39.4,48.6,51.1,53.6,56.6,60.2,60.2,60.2,68.6,78.0,81.4,84.6,89.4,89.4,89.4,94.2,98.0,100.4,
Sweden,Sweden,147.9,147.9,142.7,150.3,150.3,150.3,138.1,122.3,112.7,102.1,95.4,95.4,95.4,79.8,73.8,66.5,61.0,57.3,57.3,57.3,48.7,47.1,45.4,43.3,40.1,40.1,40.1,34.9,34.1,32.2,31.5,30.7,30.7,30.7,29.0,29.5,29.7,31.3,32.5,32.5,32.5,35.0,35.5,35.9
Switzerland,Switzerland,6.6,8.8,9.0,9.5,10.6,11.4,11.7,12.1,13.1,13.5,14.1,14.5,14.8,15.1,15.2,14.2,15.5,15.0,15.1,15.4,15.4,16.0,16.2,16.5,17.1,17.6,17.9,17.9,18.6,19.3,20.2,20.8,23.5,22.9,23.2,23.4,23.9,24.6,24.7,25.1,25.6,26.1,26.7,27.7
Ukraine,Ukraine,27.0,26.7,26.9,26.8,26.9,27.1,26.8,26.2,25.9,25.5,24.8,24.5,24.0,23.9,23.7,24.1,24.0,23.9,23.7,23.5,23.8,24.0,24.1,24.2,24.5,25.2,25.7,26.2,26.8,27.3,28.0,28.7,29.4,30.3,31.1,31.9,32.9,34.0,35.1,36.0,38.9,39.7,40.9,42.1
United_Kingdom,United_Kingdom,16.9,16.1,15.6,14.9,14.3,13.9,13.8,13.5,13.1,12.9,12.9,12.8,12.4,12.3,12.3,12.4,12.6,12.8,12.7,12.9,12.7,12.8,13.0,13.1,13.2,13.3,13.3,13.3,12.3,12.4,12.6,12.8,13.1,13.5,14.3,14.1,14.3,14.6,14.8,14.9,15.9,16.5,18.2,18.5
